Article_ID;DOI;Year;Authors;Title;Journal;Volume_pages;Species;Organ/material;Corpus_status;Chemical_scope;Key_result;Source_file;Genus_count_master;Species_count_master;Taxonomic_unit_count_master;Organ_primary_count_master;Presence_record_count_master;Chemical_entity_count_master;Exact_structure_count_master;Chemical_domain_count_master;Chemical_class_count_master
L79;10.3989/gya.023513;2013;Santos et al.;Major components in oils obtained from Amazonian palm fruits;Grasas y Aceites;64(3):328-334;"Oenocarpus bacaba; Mauritia flexuosa; Maximiliana maripa; Bactris gasipaes; Astrocaryum vulgare";Fruit mesocarp oils;Include;GC-FID / HPLC-RI lipid composition;Fatty acids and triacylglycerols were characterized in five Amazonian palm-fruit oils;Santos et al. - 2013 - Major components in oils obtained from Amazonian palm fruits.pdf;5;5;5;1;101;39;9;1;2
L83;10.1016/j.foodchem.2025.145650;2025;Wagner et al.;Phenolic composition, antioxidant capacity and digestive enzymes inhibition of Butia under simulated digestion;Food Chemistry;493:145650;"Butia catarinensis; Butia eriospatha; Butia odorata";Fruit tissue without endocarp;Include;Targeted HPLC-DAD / simulated digestion;Nine standard-matched phenolics were followed through four digestion phases in six populations;Wagner et al. - 2025 - Phenolic composition, antioxidant capacity and digestive enzymes inhibition of Butia (.pdf;1;3;3;1;16;9;8;1;4
L85;10.1590/1678-9805202033e190146;2020;dos Santos et al.;Chromatographic profile and bioactive compounds found in the composition of pupunha oil (Bactris gasipaes Kunth): implications for human health;Revista de Nutricao;33:e190146;Bactris gasipaes;Cooked red fruit oil;Include;GC-FID / spectrophotometric composition;Nine fatty acids and beta-carotene were measured in red peach-palm oil;dos Santos et al. - 2020 - Chromatographic profile and bioactive compounds found in the composition of pupunha oil (Bactris gas.pdf;1;1;1;1;10;10;10;2;2
L88;10.12944/CRNFSJ.13.3.27;2025;Jasi et al.;Supercritical and Subcritical Extraction of Date Fruits (Phoenix dactylifera L.) and Their Phytochemical Composition;Current Research in Nutrition and Food Science;13(3):1394-1408;Phoenix dactylifera;Fruit flesh and seeds;Include;Experimental extraction and composition;"Fourteen cultivars were compared; seed oils yielded up to 9.92%, and PLE flesh extracts showed cultivar-dependent phenolics and antioxidant capacity";Jasi et al. - 2025 - Supercritical and Subcritical Extraction of Date Fruits (Phoenix dactylifera L.) and Their Phytochem.pdf;1;1;1;1;58;5;5;1;1
L93;10.31413/nativa.v10i1.13368;2022;da Silva et al.;Potential for use of fixed tucumas oils;Nativa;10(1):109-116;"Astrocaryum aculeatum; Astrocaryum vulgare";Fruit mesocarp oils;Include;Oil composition and class assays;Cold-pressed oils were compared for fatty-acyl composition and bioactive-class metrics;da Silva et al. - 2022 - Potential for use of fixed tucumas oils.pdf;1;2;2;1;12;8;8;1;1
L96;10.3390/plants12020226;2023;Rincon-Cervera et al.;Arecaceae Seeds Constitute a Healthy Source of Fatty Acids and Phenolic Compounds;Plants;12:226;24 Arecaceae taxa;Seeds;Include;Comparative GC-FID/HPLC-DAD/LC-MS study;"Twenty-four taxa were profiled for fatty-acyl and phenolic composition; no sulfated compound was reported";Angel Rincon-Cervera et al. - 2023 - Arecaceae Seeds Constitute a Healthy Source of Fatty Acids and Phenolic Compounds.pdf;15;24;24;1;241;19;17;3;6
L97;10.1590/S0102-695X2011005000007;2011;Favacho et al.;Anti-inflammatory and antinociceptive activities of Euterpe oleracea oil;Revista Brasileira de Farmacognosia;21(1):105-114;Euterpe oleracea;Fruit oil;Include;GC-MS fatty-acid composition / pharmacology;Three major fatty acids accounted for the reported chromatographic composition;Favacho et al. - 2011 - Anti-inflammatory and antinociceptive activities of Euterpe oleracea oil.pdf;1;1;1;1;3;3;3;1;1
L98;10.1055/s-0028-1088392;2009;Rosler et al.;Analysis of the Hydrodistillate from the Fruits of Serenoa repens;Planta Medica;75:184-186;Serenoa repens;"Ripe fruits; hydrodistillate";Include;GC-MS volatile profile;"Main table reports 77 named constituents/peak assignments; 67 additional trace constituents require the online supplement";Roesler et al. - 2009 - Analysis of the Hydrodistillate from the Fruits of Serenoa repens.pdf;1;1;1;1;77;77;64;2;2
L99;10.1371/journal.pone.0214193;2019;Tayler et al.;Analysis of the antiparasitic and anticancer activity of the coconut palm (Cocos nucifera L.);PLOS ONE;14(4):e0214193;Cocos nucifera;"Leaves and other organs; chemical profile of leaf extracts";Include;GNPS LC-MS/MS dereplication / bioactivity;Thirty-one sample-specific dereplication assignments were reported, many with mass-error or epimer limitations;Tayler et al. - 2019 - Analysis of the antiparasitic and anticancer activity of the coconut palm (Cocos nucifera L. ARECACE.pdf;1;1;1;1;31;29;14;4;7
L101;10.1590/0001-3765201520140166;2015;Silva et al.;A comparative study of nutritional composition and potential use of some underutilized tropical fruits of Arecaceae;Anais da Academia Brasileira de Ciencias;87(3):1701-1709;Six Arecaceae species;Fruit pulp and kernel;Include;Proximate, fatty-acyl and carotenoid composition;"Six species were compared organ-by-organ; several fatty-acid profiles are incomplete and require cautious interpretation";Silva et al. - 2015 - A comparative study of nutritional composition and potential use of some underutilized tropical frui.pdf;5;6;6;2;37;7;7;1;1
L102;10.1007/s00217-025-04901-z;2025;Soares et al.;Unveiling the chemical composition and biological bioactivity of two Amazonian Oenocarpus species;European Food Research and Technology;251:4737-4751;"Oenocarpus bacaba; Oenocarpus minor";Mechanically processed fruit pulps;Include;Composition and ESI-LTQ-MS/MS annotation;"Twenty-two metabolites were tentatively annotated in both extracts; sugars and nutritional/class metrics were quantified";Soares et al. - 2025 - Unveiling the chemical composition and biological bioactivity of two Amazonian Oenocarpus species.pdf;1;2;2;1;53;27;9;2;3
L103;10.1007/s10265-019-01115-9;2019;Wu et al.;Tissue-specific and maturity-dependent distribution of pyridine alkaloids in Areca triandra;Journal of Plant Research;132:531-540;Areca triandra;Leaves, flowers, spadices, fruit pericarp and endosperm;Include;Targeted UPLC-MS quantification;Four pyridine alkaloids were quantified across 12 tissue/developmental samples;Wu et al. - 2019 - Tissue-specific and maturity-dependent distribution of pyridine alkaloids in Areca triandra.pdf;1;1;1;4;48;4;4;1;1
L104;10.1007/s10973-011-1308-0;2011;Kobelnik et al.;Thermal behavior of jeriva oil (Syagrus romanzoffiana);Journal of Thermal Analysis and Calorimetry;106:711-715;Syagrus romanzoffiana;Fruit pulp oil;Include;GC fatty-acyl profile / thermal analysis;"Ten fatty acids were reported; linoleic, oleic and palmitic acids predominated";Kobelnik et al. - 2011 - Thermal behavior of jeriva oil (Syagrus romanzoffiana).pdf;1;1;1;1;10;10;10;2;2
L105;10.1007/s10973-016-5239-7;2016;Kobelnik et al.;Thermal behavior and chromatographic characterization of oil extracted from the nut of the Butia (Butia capitata);Journal of Thermal Analysis and Calorimetry;123:2517-2522;Butia capitata;Fruit nut oil;Include;GC-FID fatty-acyl profile / thermal analysis;"Ten fatty acids were reported; the oil was predominantly saturated";Kobelnik et al. - 2016 - Thermal behavior and chromatographic characterization of oil extracted from the nut of the Butia (Bu.pdf;1;1;1;1;10;10;10;2;2
L110;10.1007/s12161-019-01515-6;2020;Boeing et al.;Phenolic compounds from Butia odorata fruit and its antioxidant and antitumor activities;Food Analytical Methods;13:61-68;Butia odorata;Fruit;Include;Targeted UHPLC-MS/MS phenolic quantification;"Thirteen phenolics were quantified; five were first reports for the species, not new natural products";Boeing et al. - 2020 - Phenolic Compounds from Butia odorata (Barb. Rodr.) Noblick Fruit and Its Antioxidant and Antitumor.pdf;1;1;1;1;13;13;10;2;6
L111;10.21930/rcta.vol21_num3_art:1791;2020;Cardoso Coimbra et al.;Physicochemical characterization of the pulp oil of bacuri Attalea phalerata;Ciencia y Tecnologia Agropecuaria;21(3):e1791;Attalea phalerata;Fruit pulp oil;Include;Oil composition and physicochemical characterization;Eleven fatty acids, alpha/delta tocopherol and oil-quality metrics were quantified;Cardoso Coimbra et al. - 2020 - Physicochemical characterization of the pulp oil of bacuri Attalea phalerata Mart. ex Spreng. (Areca.pdf;1;1;1;1;13;13;12;2;2
L112;10.17807/orbital.v7i4.769;2016;Fernandez et al.;Oil in inaja pulp (Maximiliana maripa): fatty acid profile and anti-acetylcholinesterase activity;Orbital;8(2):80-83;Maximiliana maripa;Fruit pulp oil;Include;GC fatty-acyl profile;"Ten fatty acids were quantified; the published name is treated as the synonym Attalea maripa";Fernandez et al. - 2016 - Oil in Inaja Pulp (Maximiliana maripa) Fatty Acid Profile and Anti-acetylcholinesterase Activity.pdf;1;1;1;1;10;10;10;1;1
L114;10.1007/s11130-026-01521-0;2026;Haddou et al.;Fatty acids and protein content of underexplored tropical palm fruits;Plant Foods for Human Nutrition;81:63;Eight Arecaceae species;Fruit pulp and seed;Include;Comparative GC fatty-acyl and protein profiling;Eight palm fruits, including Copernicia alba, were profiled by organ;Haddou et al. - 2026 - Fatty Acids and Protein Content of Underexplored Tropical Palm Fruits.pdf;7;8;8;2;185;19;18;2;2
L115;10.1007/s11694-018-9742-3;2018;Lescano et al.;Nutritional and chemical characterizations of fruits obtained from Syagrus romanzoffiana, Attalea dubia, Attalea phalerata and Mauritia flexuosa;Journal of Food Measurement and Characterization;12:1284-1294;Four Arecaceae species;Fruit pulp and kernel;Include;Comparative composition and GC fatty-acyl profiling;Four palms were compared for proximate, mineral, fatty-acyl and antioxidant-class metrics;Lescano et al. - 2018 - Nutritional and chemical characterizations of fruits obtained from Syagrus romanzoffiana, Attalea du.pdf;3;4;4;1;57;18;17;2;2
L116;10.1007/s10722-024-01856-0;2024;Madeira et al.;Phenotypic characterization and genetic diversity of macauba (Acrocomia aculeata) accessions based on fruit traits;Genetic Resources and Crop Evolution;71:3433-3451;Acrocomia aculeata;Fruit pulp oil;Include;Population-level fatty-acyl and carotenoid profiling;Three populations showed broad oil, carotenoid and fatty-acyl variation;Madeira et al. - 2024 - Phenotypic characterization and genetic diversity of macauba (Acrocomia aculeata) accessions based o.pdf;1;1;1;1;6;6;6;1;1
L117;10.1016/j.fct.2016.04.018;2016;Marques et al.;Evaluation of the genotoxicity of Euterpe oleracea fruit oil in mammalian cells;Food and Chemical Toxicology;93:13-19;Euterpe oleracea;Fruit oil;Include;LC/ESI-MS fingerprint and genotoxicity;Twelve constituents were reported from an LC/ESI-MS fingerprint without clear authentic-standard confirmation;Marques et al. - 2016 - Evaluation of the genotoxicity of Euterpe oleraceae Mart. (Arecaceae) fruit oil (acai), in mammalian.pdf;1;1;1;1;12;12;10;3;4
L118;10.3389/fnut.2021.699555;2021;Meng et al.;Optimized extraction and characterization of folates from date palm fruits and their tracking during fermentation;Frontiers in Nutrition;8:699555;Phoenix dactylifera;Fruit;Include;Targeted UHPLC-MS/MS folate analysis;Two folate vitamers were confirmed and total folate was quantified in three cultivars;Meng et al. - 2021 - Optimized Extraction and Characterization of Folates From Date Palm Fruits and Their Tracking During.pdf;1;1;1;1;6;2;0;1;1
L119;"10.1663/0013-0001(2004)058[0536:EOTBPO]2.0.CO;2";2004;Olvera-Fonseca;Evaluation of the bromatological potential of seeds and fruits of Sabal mexicana;Economic Botany;58(4):536-543;Sabal mexicana;Seeds and fruits;Include;Bromatology, fatty-acyl profile and qualitative phytochemistry;"Site-resolved composition was reported; three TLC sterol/sapogenin identities remain only possible";Olvera-Fonseca - 2004 - Evaluation of the bromatological potential of seeds and fruits of Sabal mexicana Mart. (Arecaceae).pdf;1;1;1;1;11;11;11;3;3
L120;10.1007/s10600-011-9983-4;2011;Priestap et al.;Fatty acid composition of fruits of two forms of Serenoa repens;Chemistry of Natural Compounds;47(4):511-514;Serenoa repens;Fruit and hexane extract;Include;GC-MS of underivatized and derivatized lipids;Natural free acids and native methyl/ethyl esters were distinguished from derivatization products;Priestap et al. - 2011 - FATTY ACID COMPOSITION OF FRUITS OF TWO FORMS OF Serenoa repens.pdf;1;1;1;1;21;21;21;2;2
L121;10.22377/ajp.v18i04.5862;2024;Rajesh et al.;High-resolution mass spectrometry study of palm jaggery components;Asian Journal of Pharmaceutics;18(4):1215-1222;Borassus flabellifer;Processed palm jaggery;Include;HRMS database annotation;Four database matches were reported, three chemically implausible as phytochemicals and all requiring confirmation;Rajesh et al. - 2024 - High-resolution Mass Spectrometry Study of Palm Jaggery Components with an Emphasis on Anti-microbia.pdf;1;1;1;1;4;4;4;1;1
L122;10.1093/pcp/pcy247;2019;Reynolds et al.;Identification of genes involved in lipid biosynthesis through de novo transcriptome assembly from Cocos nucifera developing endosperm;Plant and Cell Physiology;60(5):945-960;Cocos nucifera;Developing endosperm;Include;Transcriptomics and lipid profiling;Developing endosperm oil and the major TAG acyl-chain classes were reported;Reynolds et al. - 2019 - Identification of Genes Involved in Lipid Biosynthesis through de novo Transcriptome Assembly from C.pdf;1;1;1;1;9;9;9;1;1
L125;10.1007/s00425-018-3003-x;2019;Xiao et al.;Genetic control of fatty acid composition in coconut, African oil palm and date palm;Planta;249:333-350;"Cocos nucifera; Elaeis guineensis; Phoenix dactylifera";Endosperm, leaf and embryo;Include;Comparative lipid composition and transcriptomics;"Primary chemical profiles cover coconut and African oil palm; date palm is genomic context only";Xiao et al. - 2019 - Genetic control of fatty acid composition in coconut (Cocos nucifera), African oil palm (Elaeis guin.pdf;2;2;2;2;12;5;5;1;1
L126;10.1186/s12906-023-04046-0;2023;Abdelrahim et al.;Cytotoxic flavone-C-glycosides from the leaves of Dypsis pembana: in vitro and molecular docking studies;BMC Complementary Medicine and Therapies;23:214;Dypsis pembana;Leaves;Include;Isolation and NMR identification of triterpenes, sterols and flavonoids;"Thirteen isolates represented fourteen distinct compounds because isolate 3 was a sterol mixture; all were first reports for the species";Abdelrahim et al. - 2023 - Cytotoxic flavone-C-glycosides from the leaves of Dypsis pembana (HEMoore) Beentje & J.Dransf., Arec.pdf;1;1;1;1;14;14;13;3;5
L128;10.37360/blacpma.20.19.4.28;2020;Alves Nonato et al.;Chemical characterization and evaluation of antioxidant and antimicrobial properties of the pulp oil of fruits of Mauritia flexuosa;Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas;19(4):408-419;Mauritia flexuosa;Fruit pulp oil;Include;GC-MS fatty-acyl profile and oil quality indices;"Ten fatty-acyl components were reported after methyl-ester preparation; stearic acid dominated the published profile";Alves Nonato et al. - 2020 - Chemical characterization and evaluation of antioxidant and antimicrobial properties of the pulp oil.pdf;1;1;1;1;10;10;10;1;1
L130;10.1007/s00468-016-1423-4;2016;Barreto et al.;Dynamic of reserve compounds of mesocarp and seeds of macaw palm submitted to different storage conditions;Trees;30:1945-1952;Acrocomia aculeata;Mesocarp, endosperm and embryo;Include;Tissue-resolved fatty-acyl composition and reserve compounds;"Twelve fatty-acyl components were profiled; embryo resembled mesocarp whereas endosperm was lauric-rich";Barreto et al. - 2016 - Dynamic of reserve compounds of mesocarp and seeds of macaw palm (Acrocomia aculeata) submitted to d.pdf;1;1;1;1;12;12;12;1;1
L131;10.1007/s12231-022-09565-4;2023;Cheng et al.;Dulong People's Traditional Knowledge of Caryota obtusa: a potential starch plant with emphasis on its starch properties and distribution prediction;Economic Botany;77(1):63-81;Caryota obtusa;Stem pith starch;Include;Starch composition, morphology and functional properties;Pith starch contained 89.2% starch and 22.7% amylose, with documented pasting and swelling properties;Cheng et al. - 2023 - Dulong People's Traditional Knowledge of Caryota obtusa (Arecaceae) a Potential Starch Plant with E.pdf;1;1;1;1;2;2;0;1;1
L132;10.3390/molecules26092710;2021;El Cadi et al.;Elucidation of antioxidant compounds in Moroccan Chamaerops humilis fruits by GC-MS and HPLC-MS techniques;Molecules;26:2710;Chamaerops humilis;Fruit;Include;GC-MS n-hexane profile and HPLC-PDA-ESI/MS phenolic profiling;"Sixty-nine GC-MS library annotations and fourteen unique phenolic annotations were reported; phenolics were semi-quantified by surrogate standards";El Cadi et al. - 2021 - Elucidation of Antioxidant Compounds in Moroccan Chamaerops humilis L. Fruits by GC-MS and HPLC-MS T.pdf;1;1;1;1;83;83;68;5;11
L133;10.1016/j.arabjc.2020.10.028;2020;Jabeen et al.;Date seed and syringic acid exhibit antioxidative and lifespan-extending properties in Caenorhabditis elegans;Arabian Journal of Chemistry;13:9058-9067;Phoenix dactylifera;Seed;Include;Targeted RP-HPLC-VWD phenolic analysis;Gallic, p-coumaric, caffeic and syringic acids were identified by retention time against standards and quantified;Jabeen et al. - 2020 - Date (Phoenix dactylifera) seed and syringic acid exhibits antioxidative effect and lifespan extendi.pdf;1;1;1;1;4;4;4;1;1
L134;10.1007/s10722-025-02433-9;2025;Maryam et al.;Effect of pollen sources on biochemical indices and hybrid authentication in date palm cv. Khadrawy;Genetic Resources and Crop Evolution;72:8009-8023;Phoenix dactylifera;Unripe fruit pulp;Include;Pollen-parent-resolved sugars, phenolics, proteins and enzyme activities;"Nine pollen sources produced marked quantitative differences; the published AA label is internally ambiguous";Maryam et al. - 2025 - Effect of pollen sources on biochemical indices and hybrid authentication in date palm (Phoenix dact.pdf;1;1;1;1;3;3;3;2;2
L139;10.1055/s-0042-106972;2016;Prawat et al.;Cytotoxic steroidal glycosides from the whole plant of Calamus acanthophyllus;Planta Medica;82:1117-1121;Calamus acanthophyllus;Whole plant;Include;Isolation and full spectroscopic characterization of steroidal glycosides;Callaphylloside was reported as a new natural product together with seven known glycosides;Prawat et al. - 2016 - Cytotoxic Steroidal Glycosides from the Whole Plant of Calamus acanthophyllus.pdf;1;1;1;1;8;8;0;1;3
L140;10.5650/jos.ess14007;2014;Radice et al.;Chemical characterization and antioxidant activity of Amazonian Caryodendron orinocense and Bactris gasipaes seed oils;Journal of Oleo Science;63(12):1243-1250;Bactris gasipaes;Seed/kernel oil;Include;Fatty-acyl, unsaponifiable and tocopherol profiles;"Only the Arecaceae component of this mixed-family study was extracted; several unsaponifiable constituents were first reports for Bactris gasipaes";Radice et al. - 2014 - Chemical Characterization and Antioxidant Activity of Amazonian (Ecuador) Caryodendron orinocense Ka.pdf;1;1;1;1;17;17;14;3;5
L143;10.3989/gya.010110;2010;Vasquez-Ocmin et al.;Chemical characterization and oxidative stability of oils from three morphotypes of Mauritia flexuosa;Grasas y Aceites;61(4):390-397;Mauritia flexuosa;Mesocarp and seed oils;Include;Morphotype- and tissue-resolved fatty-acyl, beta-carotene, alpha-tocopherol, mineral and proximate data;Mesocarp oils were oleic-rich, whereas seed oils differed markedly and the shambo seed oil was linoleic-rich;Vasquez-Ocmin et al. - 2010 - Chemical characterization and oxidative stability of the oils from three morphotypes of Mauritia fle.pdf;1;1;1;2;8;8;7;3;3
L144;10.1007/s11694-018-9898-x;2018;Viafara et al.;Chemical characterisation and antioxidant activity of Aphandra natalia mesocarp and its oil;Journal of Food Measurement and Characterization;12:2835-2843;Aphandra natalia;Fruit mesocarp and oil;Include;Proximate composition, fatty-acyl profile and lipophilic antioxidant metrics;Mesocarp oil contained 71.92% oleic acid and 21.52 mg/kg alpha-tocopherol;Viafara et al. - 2018 - Chemical characterisation and antioxidant activity of Aphandra natalia mesocarp and its oil from the.pdf;1;1;1;1;7;7;6;2;2
L145;10.1590/fst.26720;2021;de Albuquerque Barbosa et al.;Proximate composition, bioactive compounds and antioxidant capacity of Butia capitata;Food Science and Technology;41(Suppl. 2):763-768;Butia capitata;Fruit pulp/bark and almond;Include;HPLC vitamins and carotenoids, proximate composition and minerals;Beta-carotene, vitamin C and five vitamin E homologues were quantified separately in pulp/bark and almond;de Albuquerque Barbosa et al. - 2021 - Composition proximate, bioactive compounds and antioxidant capacity of Butia capitata.pdf;1;1;1;1;7;7;2;3;4
L151;10.15517/am.2024.60173;2024;Cortes-Herrera et al.;Bactris guineensis, an underutilized Costa Rican palm fruit: juice processing and nutritional properties;Agronomia Mesoamericana;35:60173;Bactris guineensis;Fruit and juice;Include;Proximate composition, polyphenols, UPLC-QTOF annotations and GC-MS volatiles;"Fresh fruit was rich in polyphenols and anthocyanins; ten nonvolatile entities and twenty-two volatiles were conservatively consolidated";Cortes-Herrera et al. - 2024 - Bactris guineensis, an underutilized Costa Rican palm fruit juice processing and its nutritional pr.pdf;1;1;1;1;32;32;25;2;3
L152;10.1007/s10457-020-00511-8;2020;David Alfaro-Solis et al.;Acrocomia aculeata fruits from three regions in Costa Rica: biometric parameters, oil and fatty-acid composition;Agroforestry Systems;94:2029-2042;Acrocomia aculeata;Fruit pulp, kernel and husk;Include;Location- and tissue-resolved proximate and fatty-acyl composition;"Kernel was lauric-rich and pulp oleic-rich; only table values and explicitly stated numerical comparisons were transcribed";David Alfaro-Solis et al. - 2020 - Acrocomia aculeatafruits from three regions in Costa Rica an assessment of biometric parameters, oi.pdf;1;1;1;2;14;11;10;1;1
L154;10.1007/s13205-018-1110-9;2018;Goncalves et al.;Bioactive properties of Chamaerops humilis L.: antioxidant and enzyme inhibiting activities of extracts;3 Biotech;8:88;Chamaerops humilis;Leaves, fruit peel, pulp and seed;Include;HPLC-DAD phenolics and tissue-resolved phenolic-class metrics;"Six leaf phenolics and two pulp phenolics were quantified; seed extract showed the highest total phenolics and condensed tannins";Goncalves et al. - 2018 - Bioactive properties of Chamaerops humilis L. antioxidant and enzyme inhibiting activities of extra.pdf;1;1;1;2;8;7;4;1;3
L155;10.1186/s12906-026-05365-8;2026;Hamed et al.;Carpoxylon macrospermum leaf extract and its phenolic compounds: a multi-targeted therapeutic remedy;BMC Complementary Medicine and Therapies;26;Carpoxylon macrospermum;Leaves;Include;Isolation and NMR/MS identification;Chlorogenic acid, rutin, hesperidin, vanillic acid and p-hydroxybenzoic acid were isolated and spectroscopically identified;Hamed et al. - 2026 - Carpoxylon macrospermum leaf extract and its phenolic compounds a multi-targeted therapeutic remedy.pdf;1;1;1;1;5;5;5;1;3
L157;10.1016/j.fbio.2022.102181;2022;Lahlou et al.;Arecaceae fruits: fatty acids, phenolic compounds and in vitro antitumor activity;Food Bioscience;50:102181;Multiple Arecaceae taxa;Fruit pulp;Include;Multi-taxon fatty-acyl and targeted HPLC-DAD/LC-MS profiles;Eleven taxa represented by thirteen accessions were profiled for fatty acids, lipid-quality indices and twenty-seven quantified organic-acid/phenolic analytes;Lahlou et al. - 2022 - Arecaceae fruits Fatty acids, phenolic compounds and in vitro antitumor activity.pdf;7;10;10;1;455;37;33;3;6
L158;10.1007/s00114-026-02090-7;2026;Mohamed et al.;Bioactive potential of Latania verschaffeltii leaves: phytochemical, antimicrobial and cytotoxic evaluation;The Science of Nature;113;Latania verschaffeltii;Leaves;Include;Fractionation and spectroscopic characterization;"Six known entities were reported from five isolate numbers; the structural work had been described in companion publications";Mohamed et al. - 2026 - Bioactive potential of Latania verschaffeltii Lem. leaves (Arecaceae) phytochemical, antimicrobial,.pdf;1;1;1;1;6;6;5;2;4
L159;;2024;Mohammed et al.;Antiproliferative potential of Dypsis decaryi seeds supported by metabolic profiling and molecular docking;Unpublished manuscript;31-page manuscript;Dypsis decaryi;Seeds and fixed oil;Include;UPLC-HR-ESI-MS dereplication and GC-MS FAME profile;"Fourteen UPLC features expanded to alternate candidate structures and twelve fatty-acyl methyl esters; identities remain annotation-level";Mohammed et al. - 2024 - Antiproliferative Potential of Dypsis decaryi Seeds Supported by Metabolic Profiling and Molecular D.pdf;1;1;1;1;32;32;26;4;8
L161;10.1186/s12906-015-0724-2;2015;Sudo et al.;Antinociceptive effects of hydroalcoholic extract from Euterpe oleracea Mart. (Acai) in a rodent model;BMC Complementary and Alternative Medicine;15:208;Euterpe oleracea;Fruit stones;Include;HPLC-DAD confirmation of catechin and proanthocyanidin-rich extract;"Catechin was confirmed by co-injection and UV spectrum; polymeric proanthocyanidins remained class-level evidence";Sudo et al. - 2015 - Antinociceptive effects of hydroalcoholic extract from Euterpe oleracea Mart. (Acai) in a rodent mod.pdf;1;1;1;1;1;1;0;1;1
L170;10.1590/1809-4430-Eng.Agric.v37n1p148-159/2017;2017;Melo Neto et al.;Starch extraction from the peach palm (Bactris gasepaes Kunth.) fruit: a model approach for yield increase;Engenharia Agrícola;37(1):148-159;Bactris gasipaes;Mature fruit;Include;Starch extraction and process optimization;"Isolated fruit starch; validated optimal extraction yield 23.86 ± 0.07%";L6_05.pdf;1;1;1;1;1;1;0;1;1
L172;10.1590/S1678-3921.pab2023.v58.03050;2023;Girelli et al.;Drying of butiá pulp by the foam-layer method and characterization of the obtained powder;Pesquisa Agropecuária Brasileira;58:e03050;Butia spp.;Fruit pulp and foam-layer-dried powder;Include;Vitamin C and physicochemical/process characterization;"Vitamin C ranged from 56.03 mg/100 g in fresh pulp to 4.10-12.35 mg/100 g in powders; taxon identified only to genus";L6_07.pdf;1;0;1;1;1;1;1;1;1
L174;10.5151/biochem-vsimbbtec-21742;2015;Bicudo & Ribani;Anthocyanins and Antioxidant Properties of Juçara Fruits (Euterpe edulis M.) Along the On-tree Ripening Process;Blucher Biochemistry Proceedings;1(2):13-16;Euterpe edulis;Fruit pulp across six on-tree ripening stages;Include;HPLC-PDA-QTOF-MS/MS anthocyanin profiling and quantification;"Six anthocyanins reported; three first reports in juçara fruit; TAC 91.52-236.19 mg C3G equivalents/100 g dry matter";L6_09.pdf;1;1;1;1;6;6;4;1;1
L181;10.1590/S0102-695X2011005000201;2012;Koolen et al.;Triterpenes and flavonoids from the roots of Mauritia flexuosa;Revista Brasileira de Farmacognosia;22(1):189-192;Mauritia flexuosa;Roots;Include;Isolation and NMR/MS identification;"Six triterpenes and three flavonoids isolated; all first reported for Mauritia, but none is a new natural product";L6_16.pdf;1;1;1;1;9;9;8;2;2
L182;10.1590/S0102-695X2009000200002;2009;Fonseca et al.;Constituents and antioxidant activity of two varieties of coconut water (Cocos nucifera L.);Revista Brasileira de Farmacognosia;19(1B):193-198;Cocos nucifera;Green and yellow coconut water;Include;Hydrodistillation and petroleum-ether extraction with GC-FID/GC-MS;"Twenty-six volatile or extractable constituents annotated by MS library and retention index; relative compositions reported for four preparations";L6_17.pdf;1;1;1;1;26;26;19;3;4
L183;10.1590/S0101-20612008000200021;2008;Yuyama et al.;Processamento e avaliação da vida-de-prateleira do tucumã (Astrocaryum aculeatum Meyer) desidratado e pulverizado;Ciência e Tecnologia de Alimentos;28(2):408-412;Astrocaryum aculeatum;Fresh and dehydrated fruit mesocarp;Include;Proximate composition, beta-carotene and storage-quality indices;Beta-carotene was 10286.38 µg/100 g in fresh pulp and 12063.29 µg/100 g in dehydrated powder;L6_18.pdf;1;1;1;1;1;1;1;1;1
L187;10.4028/www.scientific.net/AMR.884-885.490;2014;Rattanaburee et al.;Phytochemical study and its Quantity and Quality of Fresh and Freeze-dried Young Coconut Juice (Cocos nucifera L.);Advanced Materials Research;884-885:490-493;Cocos nucifera;Young coconut water;Include;Isolation and HPLC quantification;beta-Sitosterol isolated and quantified in fresh and reconstituted freeze-dried coconut water;A0107/rattanaburee2014.pdf;1;1;1;1;1;1;1;1;1
L188;10.21577/0103-5053.20160308;2017;Almeida et al.;Dammarane Triterpenoids from Carnauba, Copernicia prunifera (Miller) H. E. Moore (Arecaceae), Wax;Journal of the Brazilian Chemical Society;28(8):1371-1376;Copernicia prunifera;Commercial carnauba wax types 1 and 4;Include;Isolation and full structure elucidation;Twenty-four constituents recorded, including 13 new dammarane derivatives;A0145/download.pdf;1;1;1;1;24;24;9;3;4
L189;10.3390/molecules24010113;2019;Cao et al.;Green Extraction of Six Phenolic Compounds from Rattan (Calamoideae faberii) with Deep Eutectic Solvent by Homogenate-Assisted Vacuum-Cavitation Method;Molecules;24(1):113;Calamoideae faberii (as published);Blade, sheath, fruit tissues and stem;Include - taxonomically unresolved;Targeted RP-HPLC and extraction optimization;"Six phenolics quantified across six organs; published botanical name is invalid";A0175/rendered.html;0;0;1;5;22;6;5;1;3
L190;10.3390/molecules24162862;2019;Yuan et al.;Two New Flavonoids from the Nuts of Areca catechu;Molecules;24(16):2862;Areca catechu;Nuts;Include;Isolation and structure elucidation;Two new flavonoids and nine known constituents isolated;A0184/rendered.html;1;1;1;1;11;11;5;2;6
